"id"	"trueLen"	"effectiveLen"	"percentEffective"
"Gorai.001G000100"	299	299	1
"Gorai.001G000200"	505	99	0.196039603960396
"Gorai.001G000300"	587	159	0.270868824531516
"Gorai.001G000400"	1443	1102	0.763686763686764
"Gorai.001G000500"	983	673	0.684638860630722
"Gorai.001G000600"	675	0	0
"Gorai.001G000700"	935	329	0.351871657754011
"Gorai.001G000800"	1784	1711	0.959080717488789
"Gorai.001G000900"	1551	1004	0.647324306898775
"Gorai.001G001000"	1974	1659	0.840425531914894
"Gorai.001G001100"	2591	2146	0.828251640293323
"Gorai.001G001200"	2440	1363	0.558606557377049
"Gorai.001G001300"	2275	1790	0.786813186813187
"Gorai.001G001400"	1869	1609	0.860888175494917
"Gorai.001G001500"	1636	1416	0.865525672371638
"Gorai.001G001600"	2414	1920	0.795360397680199
"Gorai.001G001700"	621	72	0.115942028985507
"Gorai.001G001800"	1622	1362	0.839704069050555
"Gorai.001G001900"	1893	1719	0.908082408874802
"Gorai.001G002000"	2575	2263	0.878834951456311
"Gorai.001G002100"	1933	1522	0.787377133988619
"Gorai.001G002200"	1511	1406	0.930509596293845
"Gorai.001G002300"	9038	7404	0.819207789333923
"Gorai.001G002400"	1315	1129	0.858555133079848
"Gorai.001G002500"	1371	1065	0.776805251641138
"Gorai.001G002600"	1892	1768	0.93446088794926
"Gorai.001G002700"	3129	2560	0.818152764461489
"Gorai.001G002800"	1758	1411	0.802616609783845
"Gorai.001G002900"	3057	2230	0.729473339875695
"Gorai.001G003000"	2943	2586	0.878695208970438
"Gorai.001G003100"	4194	2656	0.633285646161183
"Gorai.001G003200"	2367	1899	0.802281368821293
"Gorai.001G003300"	2132	1912	0.896810506566604
"Gorai.001G003400"	496	435	0.877016129032258
"Gorai.001G003500"	2044	1953	0.955479452054795
"Gorai.001G003600"	2311	1804	0.780614452617914
"Gorai.001G003700"	2036	1831	0.899312377210216
"Gorai.001G003800"	1186	1040	0.876897133220911
"Gorai.001G003900"	1768	1475	0.834276018099548
"Gorai.001G004000"	2980	2389	0.801677852348993
"Gorai.001G004100"	1773	1606	0.905809362662155
"Gorai.001G004200"	1672	1449	0.866626794258373
"Gorai.001G004300"	1755	1359	0.774358974358974
"Gorai.001G004400"	1633	1413	0.865278628291488
"Gorai.001G004500"	2100	1428	0.68
"Gorai.001G004600"	554	469	0.846570397111913
"Gorai.001G004700"	773	714	0.923673997412678
"Gorai.001G004800"	1302	1200	0.921658986175115
"Gorai.001G004900"	694	532	0.76657060518732
"Gorai.001G005000"	1167	1067	0.914310197086547
"Gorai.001G005100"	803	724	0.901618929016189
"Gorai.001G005200"	2688	2239	0.83296130952381
"Gorai.001G005300"	1090	800	0.73394495412844
"Gorai.001G005400"	1650	1124	0.681212121212121
"Gorai.001G005500"	1881	1315	0.699096225412015
"Gorai.001G005600"	2246	2047	0.91139804096171
"Gorai.001G005700"	2563	2175	0.848614904408896
"Gorai.001G005800"	1320	935	0.708333333333333
"Gorai.001G005900"	2902	2525	0.870089593383873
"Gorai.001G006000"	2535	2126	0.838658777120316
"Gorai.001G006100"	2524	2241	0.887876386687797
"Gorai.001G006200"	2724	2361	0.866740088105727
"Gorai.001G006300"	817	817	1
"Gorai.001G006400"	2609	2379	0.911843618244538
"Gorai.001G006500"	2379	1704	0.716267339218159
"Gorai.001G006600"	1814	1535	0.84619625137817
"Gorai.001G006700"	1234	1045	0.846839546191248
"Gorai.001G006800"	663	489	0.737556561085973
"Gorai.001G006900"	321	267	0.831775700934579
"Gorai.001G007000"	2302	1755	0.762380538662033
"Gorai.001G007100"	1885	1574	0.83501326259947
"Gorai.001G007200"	1096	835	0.761861313868613
"Gorai.001G007300"	711	597	0.839662447257384
"Gorai.001G007400"	2197	1834	0.834774692762858
"Gorai.001G007500"	1448	1317	0.909530386740331
"Gorai.001G007600"	3680	2635	0.716032608695652
"Gorai.001G007700"	1128	968	0.858156028368794
"Gorai.001G007800"	1533	849	0.553816046966732
"Gorai.001G007900"	2493	2246	0.900922583233053
"Gorai.001G008000"	1954	1680	0.859774820880246
"Gorai.001G008100"	1792	1663	0.928013392857143
"Gorai.001G008200"	2931	2390	0.815421357898328
"Gorai.001G008300"	1060	1058	0.99811320754717
"Gorai.001G008400"	1580	1415	0.895569620253165
"Gorai.001G008500"	1876	1379	0.735074626865672
"Gorai.001G008600"	793	760	0.958385876418663
"Gorai.001G008700"	1049	895	0.853193517635844
"Gorai.001G008800"	3497	3323	0.950243065484701
"Gorai.001G008900"	2258	2064	0.914083259521701
"Gorai.001G009000"	2376	2103	0.88510101010101
"Gorai.001G009100"	883	742	0.840317100792752
"Gorai.001G009200"	1709	1159	0.67817437097718
"Gorai.001G009300"	1797	1354	0.753478018920423
"Gorai.001G009400"	1505	1176	0.781395348837209
"Gorai.001G009500"	667	618	0.926536731634183
"Gorai.001G009600"	674	559	0.829376854599407
"Gorai.001G009700"	1176	939	0.798469387755102
"Gorai.001G009800"	1830	1684	0.920218579234973
"Gorai.001G009900"	1458	1253	0.859396433470508
"Gorai.001G010000"	1062	1037	0.976459510357815
"Gorai.001G010100"	2313	1695	0.732814526588846
"Gorai.001G010200"	982	590	0.60081466395112
"Gorai.001G010300"	1149	953	0.829416884247171
"Gorai.001G010400"	466	364	0.781115879828326
"Gorai.001G010500"	3352	2995	0.893496420047733
"Gorai.001G010600"	723	681	0.941908713692946
"Gorai.001G010700"	1332	1097	0.823573573573574
"Gorai.001G010800"	1412	1312	0.929178470254957
"Gorai.001G010900"	2011	1840	0.914967677772253
"Gorai.001G011000"	1692	1479	0.874113475177305
"Gorai.001G011100"	1287	1202	0.933954933954934
"Gorai.001G011200"	1133	921	0.81288614298323
"Gorai.001G011300"	1851	1620	0.875202593192869
"Gorai.001G011400"	1311	1192	0.909229595728452
"Gorai.001G011500"	963	747	0.775700934579439
"Gorai.001G011600"	2638	1867	0.70773313115997
"Gorai.001G011700"	2532	2198	0.868088467614534
"Gorai.001G011800"	1806	1463	0.810077519379845
"Gorai.001G011900"	561	561	1
"Gorai.001G012000"	4544	3938	0.866637323943662
"Gorai.001G012100"	2157	2059	0.954566527584608
"Gorai.001G012200"	923	878	0.95124593716143
"Gorai.001G012300"	1625	1353	0.832615384615385
"Gorai.001G012400"	1835	1476	0.804359673024523
"Gorai.001G012500"	1478	1381	0.934370771312585
"Gorai.001G012600"	718	704	0.98050139275766
"Gorai.001G012700"	1563	1477	0.944977607165707
"Gorai.001G012800"	966	894	0.925465838509317
"Gorai.001G012900"	1818	1494	0.821782178217822
"Gorai.001G013000"	1069	763	0.713751169317119
"Gorai.001G013100"	2366	1797	0.759509721048183
"Gorai.001G013200"	824	822	0.997572815533981
"Gorai.001G013300"	2345	2068	0.881876332622601
"Gorai.001G013400"	4543	3032	0.667400396213956
"Gorai.001G013500"	2396	2289	0.95534223706177
"Gorai.001G013600"	1675	1440	0.859701492537313
"Gorai.001G013700"	1055	896	0.849289099526066
"Gorai.001G013800"	1051	894	0.850618458610847
"Gorai.001G013900"	1459	1335	0.915010281014393
"Gorai.001G014000"	1365	1193	0.873992673992674
"Gorai.001G014100"	5398	3912	0.724712856613561
"Gorai.001G014200"	1346	1185	0.88038632986627
"Gorai.001G014300"	1314	988	0.751902587519026
"Gorai.001G014400"	543	504	0.92817679558011
"Gorai.001G014500"	788	689	0.874365482233503
"Gorai.001G014600"	1161	1161	1
"Gorai.001G014700"	1176	1059	0.900510204081633
"Gorai.001G014800"	947	780	0.823653643083421
"Gorai.001G014900"	606	606	1
"Gorai.001G015000"	1422	1374	0.966244725738397
"Gorai.001G015100"	1201	1046	0.870940882597835
"Gorai.001G015200"	1034	897	0.867504835589942
"Gorai.001G015300"	3778	3094	0.818951826363155
"Gorai.001G015400"	1544	1465	0.948834196891192
"Gorai.001G015500"	1277	1169	0.915426781519186
"Gorai.001G015600"	693	578	0.834054834054834
"Gorai.001G015700"	1024	1012	0.98828125
"Gorai.001G015800"	1429	1329	0.930020993701889
"Gorai.001G015900"	2138	2038	0.953227315247895
"Gorai.001G016000"	2784	2276	0.817528735632184
"Gorai.001G016100"	1188	1100	0.925925925925926
"Gorai.001G016200"	618	565	0.914239482200647
"Gorai.001G016300"	1914	1625	0.849007314524556
"Gorai.001G016400"	1167	931	0.79777206512425
"Gorai.001G016500"	2188	1617	0.739031078610603
"Gorai.001G016600"	1740	1432	0.822988505747126
"Gorai.001G016700"	1116	871	0.780465949820789
"Gorai.001G016800"	1185	1104	0.931645569620253
"Gorai.001G016900"	2084	1892	0.907869481765835
"Gorai.001G017000"	4460	3769	0.845067264573991
"Gorai.001G017100"	4244	3264	0.769085768143261
"Gorai.001G017200"	869	718	0.826237054085155
"Gorai.001G017300"	805	747	0.927950310559006
"Gorai.001G017400"	3755	2417	0.643675099866844
"Gorai.001G017500"	1127	1018	0.903283052351375
"Gorai.001G017600"	808	665	0.823019801980198
"Gorai.001G017700"	2665	2504	0.939587242026266
"Gorai.001G017800"	3550	2856	0.804507042253521
"Gorai.001G017900"	1609	1549	0.962709757613424
"Gorai.001G018000"	3166	2705	0.854390397978522
"Gorai.001G018100"	6347	5333	0.840239483220419
"Gorai.001G018200"	1814	1648	0.908489525909592
"Gorai.001G018300"	2019	1258	0.623080733036157
"Gorai.001G018400"	1723	1717	0.996517701683111
"Gorai.001G018500"	1169	1138	0.973481608212147
"Gorai.001G018600"	2094	1904	0.909264565425024
"Gorai.001G018700"	6070	4866	0.80164744645799
"Gorai.001G018800"	1247	1194	0.957497995188452
"Gorai.001G018900"	1183	1025	0.866441251056636
"Gorai.001G019000"	420	55	0.130952380952381
