id	trueLen	effectiveLen	percentEffective
Gorai.001G000100	299	299	1
Gorai.001G000200	505	366	0.724752475247525
Gorai.001G000300	587	183	0.31175468483816
Gorai.001G000400	1443	1443	1
Gorai.001G000500	983	983	1
Gorai.001G000600	675	0	0
Gorai.001G000700	935	935	1
Gorai.001G000800	1784	1784	1
Gorai.001G000900	1551	1551	1
Gorai.001G001000	1974	1974	1
Gorai.001G001100	2591	2591	1
Gorai.001G001200	2440	2440	1
Gorai.001G001300	2275	2275	1
Gorai.001G001400	1869	1869	1
Gorai.001G001500	1636	1636	1
Gorai.001G001600	2414	2414	1
Gorai.001G001700	621	340	0.547504025764895
Gorai.001G001800	1622	1622	1
Gorai.001G001900	1893	1893	1
Gorai.001G002000	2575	2575	1
Gorai.001G002100	1933	1933	1
Gorai.001G002200	1511	1511	1
Gorai.001G002300	9038	9038	1
Gorai.001G002400	1315	1315	1
Gorai.001G002500	1371	1371	1
Gorai.001G002600	1892	1892	1
Gorai.001G002700	3129	3129	1
Gorai.001G002800	1758	1758	1
Gorai.001G002900	3057	2605	0.852142623487079
Gorai.001G003000	2943	2943	1
Gorai.001G003100	4194	4194	1
Gorai.001G003200	2367	2367	1
Gorai.001G003300	2132	2132	1
Gorai.001G003400	496	496	1
Gorai.001G003500	2044	2044	1
Gorai.001G003600	2311	2311	1
Gorai.001G003700	2036	2036	1
Gorai.001G003800	1186	1186	1
Gorai.001G003900	1768	1768	1
Gorai.001G004000	2980	2980	1
Gorai.001G004100	1773	1773	1
Gorai.001G004200	1672	1672	1
Gorai.001G004300	1755	1755	1
Gorai.001G004400	1633	1633	1
Gorai.001G004500	2100	2070	0.985714285714286
Gorai.001G004600	554	554	1
Gorai.001G004700	773	773	1
Gorai.001G004800	1302	1302	1
Gorai.001G004900	694	694	1
Gorai.001G005000	1167	1167	1
Gorai.001G005100	803	803	1
Gorai.001G005200	2688	2688	1
Gorai.001G005300	1090	1090	1
Gorai.001G005400	1650	1634	0.99030303030303
Gorai.001G005500	1881	1881	1
Gorai.001G005600	2246	2246	1
Gorai.001G005700	2563	2563	1
Gorai.001G005800	1320	1320	1
Gorai.001G005900	2902	2902	1
Gorai.001G006000	2535	2535	1
Gorai.001G006100	2524	2524	1
Gorai.001G006200	2724	2724	1
Gorai.001G006300	817	817	1
Gorai.001G006400	2609	2609	1
Gorai.001G006500	2379	2379	1
Gorai.001G006600	1814	1814	1
Gorai.001G006700	1234	1234	1
Gorai.001G006800	663	663	1
Gorai.001G006900	321	321	1
Gorai.001G007000	2302	2302	1
Gorai.001G007100	1885	1885	1
Gorai.001G007200	1096	1096	1
Gorai.001G007300	711	711	1
Gorai.001G007400	2197	2197	1
Gorai.001G007500	1448	1448	1
Gorai.001G007600	3680	3680	1
Gorai.001G007700	1128	1128	1
Gorai.001G007800	1533	1027	0.669928245270711
Gorai.001G007900	2493	2493	1
Gorai.001G008000	1954	1954	1
Gorai.001G008100	1792	1792	1
Gorai.001G008200	2931	2931	1
Gorai.001G008300	1060	1060	1
Gorai.001G008400	1580	1580	1
Gorai.001G008500	1876	1876	1
Gorai.001G008600	793	793	1
Gorai.001G008700	1049	1049	1
Gorai.001G008800	3497	3497	1
Gorai.001G008900	2258	2258	1
Gorai.001G009000	2376	2376	1
Gorai.001G009100	883	883	1
Gorai.001G009200	1709	1709	1
Gorai.001G009300	1797	1797	1
Gorai.001G009400	1505	1505	1
Gorai.001G009500	667	667	1
Gorai.001G009600	674	674	1
Gorai.001G009700	1176	1176	1
Gorai.001G009800	1830	1830	1
Gorai.001G009900	1458	1458	1
Gorai.001G010000	1062	1062	1
Gorai.001G010100	2313	2313	1
Gorai.001G010200	982	982	1
Gorai.001G010300	1149	1149	1
Gorai.001G010400	466	466	1
Gorai.001G010500	3352	3352	1
Gorai.001G010600	723	723	1
Gorai.001G010700	1332	1332	1
Gorai.001G010800	1412	1412	1
Gorai.001G010900	2011	2011	1
Gorai.001G011000	1692	1692	1
Gorai.001G011100	1287	1287	1
Gorai.001G011200	1133	1133	1
Gorai.001G011300	1851	1851	1
Gorai.001G011400	1311	1311	1
Gorai.001G011500	963	963	1
Gorai.001G011600	2638	2638	1
Gorai.001G011700	2532	2532	1
Gorai.001G011800	1806	1806	1
Gorai.001G011900	561	561	1
Gorai.001G012000	4544	4544	1
Gorai.001G012100	2157	2157	1
Gorai.001G012200	923	923	1
Gorai.001G012300	1625	1625	1
Gorai.001G012400	1835	1835	1
Gorai.001G012500	1478	1478	1
Gorai.001G012600	718	718	1
Gorai.001G012700	1563	1563	1
Gorai.001G012800	966	966	1
Gorai.001G012900	1818	1818	1
Gorai.001G013000	1069	1069	1
Gorai.001G013100	2366	2366	1
Gorai.001G013200	824	824	1
Gorai.001G013300	2345	2345	1
Gorai.001G013400	4543	4543	1
Gorai.001G013500	2396	2396	1
Gorai.001G013600	1675	1675	1
Gorai.001G013700	1055	1055	1
